Квартира	Дата опломбировки		ОТП1							ОТП2							ОТОП3					
		Марка	Модель	Заводской №	Перв. показания	Дата проверки	№ пломбы	Дата след. Проверки	Марка	Модель	Заводской №	Перв. показания	Дата проверки	№ пломбы	Дата след. Проверки	Модель	Марка	Заводской №	Перв. показания	Дата проверки	№ пломбы	Дата след. Проверки
95	06.02.2015	ZENNER	Multidata s1-1	33467848	1.61	02.04.2014	268445	02.04.2018	ZENNER	Multidata s1-1	33467902	7.188	07.04.2014	338829	07.04.2018	ZENNER	Multidata s1-1					
96	06.02.2015	ZENNER	Multidata s1-1	33467806	0.835	02.04.2014	268390	02.04.2018	ZENNER	Multidata s1-1	33467926	0.852	02.04.2014	311884	02.04.2018	ZENNER	Multidata s1-1					
97	04.02.2015	ZENNER	Multidata s1-1	33467929	1.639	02.04.2014	1043932	02.04.2018	ZENNER	Multidata s1-1	3367949	0.856	02.04.2014	1043996	02.04.2018	ZENNER	Multidata s1-1					
98	26.12.2014	ZENNER	Multidata s1-1	33467829	1.453	02.04.2014	1043277	02.04.2018	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
99	23.01.2015	ZENNER	Multidata s1-1	33467923	1.854	02.04.2014	1043365	02.04.2018	ZENNER	Multidata s1-1	33467847	1.875	02.04.2014	1043664	02.04.2018	ZENNER	Multidata s1-1					
100	18.02.2015	ZENNER	Multidata s1-1	33467808	2.315	02.04.2014	68204	02.04.2018	ZENNER	Multidata s1-1	33467960	1.877	02.04.2014	68205	02.04.2018	ZENNER	Multidata s1-1					
101	18.02.2015	ZENNER	Multidata s1-1	33467849	4.379	02.04.2014	8282	02.04.2018	ZENNER	Multidata s1-1	33467836	3.872	02.04.2014	8283	02.04.2018	ZENNER	Multidata s1-1					
102	13.03.2015	ZENNER	Multidata s1-1	33467911	2.797	02.04.2014	268063	02.04.2018	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
103	04.02.2015	ZENNER	Multidata s1-1	33467904	1.758	02.04.2014	1043205	02.04.2018	ZENNER	Multidata s1-1	33467905	1.871	02.04.2014	1043959	02.04.2018	ZENNER	Multidata s1-1					
104	18.06.2015	ZENNER	Multidata s1-1	33467908	2.028	02.04.2014	309228	02.04.2018	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
105	31.12.2014	ZENNER	Multidata s1-1	33467858	1.236	02.04.2014	1043216	02.04.2018	ZENNER	Multidata s1-1	33467873	1.452	02.04.2014		02.04.2018	ZENNER	Multidata s1-1					
106		ZENNER	Multidata s1-1						ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
107	06.02.2015	ZENNER	Multidata s1-1	33467802	1.48	02.04.2014	268443	02.04.2018	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
108	18.02.2015	ZENNER	Multidata s1-1	33467955	2.443	02.04.2014	8363	02.04.2018	ZENNER	Multidata s1-1	32467809	3.061	02.04.2014	8465	02.04.2018	ZENNER	Multidata s1-1					
109		ZENNER	Multidata s1-1						ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
110	24.12.2014	ZENNER	Multidata s1-1	33467622	1.242	02.04.2014	1043151	02.04.2018	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
111	04.02.2015	ZENNER	Multidata s1-1	33467626	1.651	02.04.2014	1043938	02.04.2018	ZENNER	Multidata s1-1	33467870	1.938	02.04.2014	1043934	02.04.2018	ZENNER	Multidata s1-1					
112		ZENNER	Multidata s1-1						ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
113		ZENNER	Multidata s1-1						ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
114	04.02.2015	ZENNER	Multidata s1-1	33467872	2.995	02.04.2014	1043980	02.04.2018	ZENNER	Multidata s1-1	33467706	2.164	02.04.2014	1043206	02.04.2018	ZENNER	Multidata s1-1					
